번호,종목명,평가액(억 원),자산군 내 비중(퍼센트),지분율(퍼센트)
1,삼성전자,398413,22,8.52
2,SK하이닉스,86696,4.49,9.09
3,NAVER,55368,2.92,8.92
4,현대차,36211,2.81,8.11
5,삼성SDI,36157,2.36,8.03
6,삼성바이오로직스,35172,2.12,5.89
7,카카오,35065,2.1,6.99
8,LG화학,29246,2.04,6.74
9,기아,27398,1.57,8.22
10,현대모비스,22467,1.32,9.33
11,POSCO,22188,1.31,9.27
12,KB금융,20815,1.13,9.1
13,LG전자,18654,1.13,8.26
14,SK이노베이션,18364,1.08,8.33
15,셀트리온,17966,1.08,6.58
16,신한지주,16833,1.06,8.85
17,삼성물산,15735,1.06,7.08
18,SK,15667,1.05,8.42
19,삼성전기,15413,1.04,10.45
20,크래프톤,15014,0.89,6.67
21,카카오뱅크,12362,0.88,4.41
22,LG생활건강,12118,0.81,7.07
23,SK텔레콤,12066,0.81,9.52
24,엔씨소프트,11894,0.69,8.43
25,하나금융지주,11689,0.68,9.26
26,하이브,10903,0.67,7.55
27,KT,10094,0.66,12.63
28,고려아연,9438,0.62,9.79
29,LG이노텍,9294,0.6,10.79
30,KT&G,9123,0.6,8.41
31,삼성화재,8897,0.6,9.3
32,LG,8782,0.59,6.9
33,한국전력,8384,0.58,5.91
34,우리금융지주,8296,0.57,8.97
35,SK스퀘어,8213,0.56,8.74
36,SK바이오사이언스,8184,0.53,4.75
37,S-Oil,7676,0.51,7.96
38,삼성에스디에스,7665,0.51,6.33
39,삼성생명,7603,0.48,5.93
40,대한항공,7564,0.46,7.41
41,카카오페이,7410,0.45,3.22
42,CJ제일제당,7259,0.45,12.44
43,포스코케미칼,6533,0.45,5.86
44,두산중공업,6158,0.44,5.79
45,현대글로비스,6092,0.44,9.67
46,SK아이이테크놀로지,6038,0.41,5.04
47,LG디스플레이,6008,0.41,6.83
48,SKC,5923,0.4,8.96
49,HMM,5923,0.38,4.5
50,롯데케미칼,5746,0.36,7.73
51,넷마블,5554,0.36,5.17
52,아모레퍼시픽,5537,0.35,5.67
53,유한양행,5460,0.34,12.56
54,LG유플러스,5387,0.34,9.07
55,한화솔루션,5279,0.32,7.77
56,한국금융지주,5084,0.32,11.3
57,현대건설,4912,0.31,9.92
58,현대중공업,4656,0.3,5.51
59,이마트,4569,0.29,10.85
60,기업은행,4495,0.28,5.86
61,한솔케미칼,4468,0.28,12.9
62,삼성증권,4455,0.27,11.11
63,코웨이,4443,0.27,8.09
64,GS건설,4297,0.27,12.68
65,SK바이오팜,4120,0.26,5.41
66,현대제철,4062,0.26,7.42
67,DB하이텍,3991,0.26,12.36
68,F&F,3976,0.24,5.49
69,한국조선해양,3945,0.24,5.89
70,일진머티리얼즈,3935,0.23,6.32
71,삼성엔지니어링,3875,0.23,8.63
72,DB손해보험,3775,0.23,9.88
73,미래에셋증권,3739,0.21,6.8
74,삼성전자우,3710,0.21,0.63
75,현대차2우B,3538,0.21,9.6
76,BNK금융지주,3496,0.2,12.77
77,한온시스템,3460,0.2,4.82
78,현대중공업지주,3426,0.19,8.08
79,금호석유,3408,0.19,6.74
80,만도,3382,0.19,11.36
81,강원랜드,3366,0.19,6.54
82,키움증권,3358,0.19,11.97
83,KCC,3287,0.18,11.74
84,오리온,3267,0.18,7.98
85,한국가스공사,3235,0.18,8.96
86,신세계,3189,0.18,12.75
87,한국타이어앤테크놀로지,3128,0.17,6.36
88,DL이앤씨,2993,0.17,12.99
89,한미약품,2845,0.17,8.54
90,메리츠금융지주,2821,0.17,4.78
91,한화에어로스페이스,2804,0.17,11.54
92,두산밥캣,2771,0.17,6.78
93,제일기획,2767,0.16,10.53
94,두산퓨얼셀,2749,0.16,8.74
95,삼성중공업,2749,0.16,5.51
96,NH투자증권,2720,0.15,7.33
97,GS리테일,2717,0.15,8.54
98,메리츠화재,2658,0.15,6.57
99,한전기술,2640,0.15,8.13
100,GS,2617,0.15,7.2
